ISO2,Country,Region,Income,Year,GDP,Population
AL,Albania,Europe & Central Asia,Upper middle income,1996,3199641336,3168033
AE,United Arab Emirates,Middle East & North Africa,High income,1996,73571233996,2571020
AU,Australia,East Asia & Pacific,High income,1996,4.00303E+11,18311000
AT,Austria,Europe & Central Asia,High income,1996,2.37251E+11,7959017
BE,Belgium,Europe & Central Asia,High income,1996,2.81358E+11,10156637
BG,Bulgaria,Europe & Central Asia,Upper middle income,1996,10109612142,8362826
BR,Brazil,Latin America & Caribbean,Upper middle income,1996,8.50426E+11,164913306
CA,Canada,North America,High income,1996,6.28546E+11,29671900
CH,Switzerland,Europe & Central Asia,High income,1996,3.25386E+11,7071850
CL,Chile,Latin America & Caribbean,High income,1996,78039572222,14497826
CO,Colombia,Latin America & Caribbean,Upper middle income,1996,97160109278,38049038
CR,Costa Rica,Latin America & Caribbean,Upper middle income,1996,11818659720,3596732
CZ,Czech Republic,Europe & Central Asia,High income,1996,66985765439,10315241
DE,Germany,Europe & Central Asia,High income,1996,2.50367E+12,81914831
DK,Denmark,Europe & Central Asia,High income,1996,1.87632E+11,5263074
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,1996,18241691857,8029113
DZ,Algeria,Middle East & North Africa,Upper middle income,1996,46941496780,29411415
ES,Spain,Europe & Central Asia,High income,1996,6.39488E+11,39889852
EE,Estonia,Europe & Central Asia,High income,1996,4746109767,1415594
FI,Finland,Europe & Central Asia,High income,1996,1.32099E+11,5124573
FR,France,Europe & Central Asia,High income,1996,1.60568E+12,59753100
GB,United Kingdom,Europe & Central Asia,High income,1996,1.40878E+12,58166950
GE,Georgia,Europe & Central Asia,Lower middle income,1996,3072845727,4491699
GR,Greece,Europe & Central Asia,High income,1996,1.45862E+11,10608800
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,1996,1.59717E+11,6435500
HR,Croatia,Europe & Central Asia,High income,1996,23924115532,4557097
HU,Hungary,Europe & Central Asia,High income,1996,47561591418,10311238
ID,Indonesia,East Asia & Pacific,Lower middle income,1996,2.27715E+11,199914831
IE,Ireland,Europe & Central Asia,High income,1996,75880632560,3637510
IS,Iceland,Europe & Central Asia,High income,1996,7296621594,268916
IL,Israel,Middle East & North Africa,High income,1996,1.09957E+11,5692000
IT,Italy,Europe & Central Asia,High income,1996,1.32094E+12,56860281
JO,Jordan,Middle East & North Africa,Upper middle income,1996,6928359238,4716373
JP,Japan,East Asia & Pacific,High income,1996,4.83371E+12,125757000
KR,"Korea, Rep.",East Asia & Pacific,High income,1996,5.98099E+11,45524681
XK,Kosovo,Europe & Central Asia,Lower middle income,1996,1667724381,2059000
LB,Lebanon,Middle East & North Africa,Upper middle income,1996,13690217333,3070960
LT,Lithuania,Europe & Central Asia,High income,1996,8670033638,3601613
LU,Luxembourg,Europe & Central Asia,High income,1996,21375442556,414225
LV,Latvia,Europe & Central Asia,High income,1996,5970044666,2457222
MO,"Macao SAR, China",East Asia & Pacific,High income,1996,7079033411,393567
MD,Moldova,Europe & Central Asia,Lower middle income,1996,1695122174,3667748
MX,Mexico,Latin America & Caribbean,Upper middle income,1996,4.10976E+11,95687452
MK,FYROM,Europe & Central Asia,Upper middle income,1996,4651453634,1989443
MT,Malta,Middle East & North Africa,High income,1996,3570271558,379905
ME,Montenegro,Europe & Central Asia,Upper middle income,1996,964940039,611003
NL,Netherlands,Europe & Central Asia,High income,1996,4.46736E+11,15530498
NO,Norway,Europe & Central Asia,High income,1996,1.63518E+11,4381336
NZ,New Zealand,East Asia & Pacific,High income,1996,70140835299,3732000
PE,Peru,Latin America & Caribbean,Upper middle income,1996,55252414130,24441074
PL,Poland,Europe & Central Asia,High income,1996,1.59954E+11,38624370
PT,Portugal,Europe & Central Asia,High income,1996,1.2263E+11,10063945
AR,Argentina,Latin America & Caribbean,High income,1996,2.7215E+11,35419682
QA,Qatar,Middle East & North Africa,High income,1996,9059340385,522304
CN,China,East Asia & Pacific,Upper middle income,1996,8.63747E+11,1217550000
RO,Romania,Europe & Central Asia,Upper middle income,1996,37182938696,22619004
RU,Russian Federation,Europe & Central Asia,Upper middle income,1996,3.91725E+11,148160042
SG,Singapore,East Asia & Pacific,High income,1996,96403758865,3670704
SK,Slovak Republic,Europe & Central Asia,High income,1996,27821913815,5373361
